date,campaign_id,ad_group_id,impressions,clicks,conversions,spend
2025-12-08,C001,C001_AG1,1459,83,15,570.16
2025-12-09,C001,C001_AG1,1252,75,8,1159.36
2025-12-10,C001,C001_AG1,1095,65,8,1054.43
2025-12-11,C001,C001_AG1,1283,56,12,535.25
2025-12-12,C001,C001_AG1,1391,78,8,906.89
2025-12-13,C001,C001_AG1,1254,84,20,1347.31
2025-12-14,C001,C001_AG1,1140,68,11,435.25
2025-12-15,C001,C001_AG1,1116,43,9,310.04
2025-12-16,C001,C001_AG1,447,25,5,295.78
2025-12-17,C001,C001_AG1,1286,81,10,890.58
2025-12-18,C001,C001_AG1,1342,98,21,1791.63
2025-12-19,C001,C001_AG1,1108,75,14,897.62
2025-12-20,C001,C001_AG1,1457,39,2,466.82
2025-12-21,C001,C001_AG1,1278,49,9,570.29
2025-12-22,C001,C001_AG1,1444,65,15,759.77
2025-12-23,C001,C001_AG1,1429,67,13,1179.06
2025-12-24,C001,C001_AG1,1387,68,6,788.67
2025-12-25,C001,C001_AG1,1116,44,10,273.18
2025-12-26,C001,C001_AG1,1190,34,3,381.58
2025-12-27,C001,C001_AG1,1231,29,6,314.42
2025-12-28,C001,C001_AG1,1471,31,7,422.7
2025-12-29,C001,C001_AG1,1470,55,7,1010.6
2025-12-30,C001,C001_AG1,1268,81,17,1495.84
2025-12-31,C001,C001_AG1,1135,55,7,826.82
2026-01-01,C001,C001_AG1,1361,95,22,1872.53
2026-01-02,C001,C001_AG1,1452,80,14,500.74
2026-01-03,C001,C001_AG1,1432,44,4,436.05
2026-01-04,C001,C001_AG1,1167,84,8,1618.52
2026-01-05,C001,C001_AG1,1416,68,13,393.13
2026-01-06,C001,C001_AG1,1111,26,6,145.7
2026-01-07,C001,C001_AG1,336,23,4,197.3
2026-01-08,C001,C001_AG1,1056,81,11,716.34
2026-01-09,C001,C001_AG1,1301,101,19,1683.35
2026-01-10,C001,C001_AG1,1154,63,14,859.13
2026-01-11,C001,C001_AG1,1186,90,8,1249.33
2026-01-12,C001,C001_AG1,1120,69,7,1053.21
2026-01-13,C001,C001_AG1,1396,75,4,974.34
2026-01-14,C001,C001_AG1,1033,60,3,678.05
2026-01-15,C001,C001_AG1,1215,50,11,594.8
2026-01-16,C001,C001_AG1,1087,55,9,783.13
2026-01-17,C001,C001_AG1,1386,66,14,916.55
2026-01-18,C001,C001_AG1,1121,85,8,999.77
2026-01-19,C001,C001_AG1,1283,77,9,955.92
2026-01-20,C001,C001_AG1,1242,51,5,468.94
2026-01-21,C001,C001_AG1,1438,76,11,597.8
2026-01-22,C001,C001_AG1,1202,64,6,777.05
2026-01-23,C001,C001_AG1,1223,25,2,276.65
2026-01-24,C001,C001_AG1,1330,56,8,568.76
2026-01-25,C001,C001_AG1,1274,52,7,499.17
2026-01-26,C001,C001_AG1,1359,52,10,1001.68
2026-01-27,C001,C001_AG1,1094,70,7,969.07
2026-01-28,C001,C001_AG1,1297,102,22,963.26
2026-01-29,C001,C001_AG1,1150,71,5,403.47
2026-01-30,C001,C001_AG1,1145,87,15,1417.39
2026-01-31,C001,C001_AG1,1005,37,5,374.09
2026-02-01,C001,C001_AG1,1125,80,5,478.41
2026-02-02,C001,C001_AG1,1287,78,6,1339.04
2026-02-03,C001,C001_AG1,1041,36,5,404.73
2026-02-04,C001,C001_AG1,1308,87,10,1620.6
2026-02-05,C001,C001_AG1,1293,59,9,348.3
2026-02-06,C001,C001_AG1,1048,68,11,609.94
2026-02-07,C001,C001_AG1,1119,59,4,656.54
2025-10-11,C001,C001_AG2,1572,98,18,1157.43
2025-10-12,C001,C001_AG2,2060,138,24,2058.65
2025-10-13,C001,C001_AG2,1709,90,16,1676.36
2025-10-14,C001,C001_AG2,1459,43,4,698.08
2025-10-15,C001,C001_AG2,1613,44,8,681.82
2025-10-16,C001,C001_AG2,1762,87,5,487.02
2025-10-17,C001,C001_AG2,1636,57,3,1107.43
2025-10-18,C001,C001_AG2,1815,139,34,2096.71
2025-10-19,C001,C001_AG2,1437,93,13,1373.86
2025-10-20,C001,C001_AG2,1537,84,14,1039.57
2025-10-21,C001,C001_AG2,1654,66,12,1179.16
2025-10-22,C001,C001_AG2,1898,70,16,1204.24
2025-10-23,C001,C001_AG2,1730,67,7,1310.04
2025-10-24,C001,C001_AG2,1772,140,25,1839.45
2025-10-25,C001,C001_AG2,1541,64,12,920.39
2025-10-26,C001,C001_AG2,1553,82,19,948.88
2025-10-27,C001,C001_AG2,1495,117,20,1004.97
2025-10-28,C001,C001_AG2,1797,95,6,1888.97
2025-10-29,C001,C001_AG2,1734,46,9,573.88
2025-10-30,C001,C001_AG2,1768,64,13,1261.03
2025-10-31,C001,C001_AG2,1798,77,18,972.02
2025-11-01,C001,C001_AG2,2018,73,15,819.36
2025-11-02,C001,C001_AG2,1767,122,13,1156.36
2025-11-03,C001,C001_AG2,2113,104,8,1360.19
2025-11-04,C001,C001_AG2,1798,94,13,923.71
2025-11-05,C001,C001_AG2,1901,103,9,1713.22
2025-11-06,C001,C001_AG2,580,36,7,388.48
2025-11-07,C001,C001_AG2,1988,156,23,866.63
2025-11-08,C001,C001_AG2,1825,131,29,1520.2
2025-11-09,C001,C001_AG2,1731,109,14,1615.57
2025-11-10,C001,C001_AG2,1740,135,15,2077.73
2025-11-11,C001,C001_AG2,2009,142,31,1519.42
2025-11-12,C001,C001_AG2,1916,125,28,692.31
2025-11-13,C001,C001_AG2,1854,139,34,2252.01
2025-11-14,C001,C001_AG2,1478,85,19,990.69
2025-11-15,C001,C001_AG2,2046,46,9,432.42
2025-11-16,C001,C001_AG2,1512,78,12,1317.25
2025-11-17,C001,C001_AG2,1465,105,18,904.31
2025-11-18,C001,C001_AG2,1510,71,7,626.92
2025-11-19,C001,C001_AG2,593,43,7,316.89
2025-11-20,C001,C001_AG2,1653,91,16,1034.18
2025-11-21,C001,C001_AG2,2005,64,8,783.88
2025-11-22,C001,C001_AG2,1812,98,24,923.99
2025-11-23,C001,C001_AG2,1873,68,11,1039.52
2025-11-24,C001,C001_AG2,1444,81,12,1503.55
2025-11-25,C001,C001_AG2,1972,111,13,1614.97
2025-11-26,C001,C001_AG2,1887,119,21,2091.43
2025-11-27,C001,C001_AG2,2046,120,13,1393.48
2025-11-28,C001,C001_AG2,1925,48,5,778.19
2025-11-29,C001,C001_AG2,1502,78,19,1011.1
2025-11-30,C001,C001_AG2,1994,70,15,855.94
2025-12-01,C001,C001_AG2,1935,78,5,1516.59
2025-12-02,C001,C001_AG2,2090,149,29,2935.17
2025-12-03,C001,C001_AG2,1976,82,17,427.12
2025-12-04,C001,C001_AG2,1730,104,19,1431.91
2025-12-05,C001,C001_AG2,2072,54,5,290.27
2025-12-06,C001,C001_AG2,1805,135,12,803.01
2025-12-07,C001,C001_AG2,2050,78,10,553.54
2025-12-08,C001,C001_AG2,1624,80,5,1464.71
2025-12-09,C001,C001_AG2,1729,104,20,1995.72
2025-12-10,C001,C001_AG2,1932,56,7,363.18
2025-12-11,C001,C001_AG2,1697,130,7,1372.53
2025-12-12,C001,C001_AG2,2079,148,10,2262.21
2025-12-13,C001,C001_AG2,2098,87,11,682.7
2025-12-14,C001,C001_AG2,2007,94,17,1374.8
2025-12-15,C001,C001_AG2,1424,95,9,654.44
2025-12-16,C001,C001_AG2,1457,96,8,790.97
2025-12-17,C001,C001_AG2,1641,47,10,237.0
2025-12-18,C001,C001_AG2,1511,42,4,319.93
2025-12-19,C001,C001_AG2,1427,29,6,248.5
2025-12-20,C001,C001_AG2,1532,35,6,451.19
2025-12-21,C001,C001_AG2,1745,116,17,769.75
2025-12-22,C001,C001_AG2,2075,46,9,828.22
2025-12-23,C001,C001_AG2,1732,134,8,1632.75
2025-12-24,C001,C001_AG2,1893,93,21,567.52
2025-12-25,C001,C001_AG2,1838,44,4,637.83
2025-12-26,C001,C001_AG2,1638,130,20,1534.75
2025-12-27,C001,C001_AG2,1479,91,20,1343.5
2025-12-28,C001,C001_AG2,1917,63,8,530.93
2025-12-29,C001,C001_AG2,1729,77,5,877.91
2025-12-30,C001,C001_AG2,1673,48,11,288.34
2025-12-31,C001,C001_AG2,1475,38,7,652.71
2026-01-01,C001,C001_AG2,1822,97,11,662.85
2026-01-02,C001,C001_AG2,1878,122,27,1929.54
2026-01-03,C001,C001_AG2,1832,75,12,614.33
2026-01-04,C001,C001_AG2,1567,41,8,431.05
2026-01-05,C001,C001_AG2,1814,124,27,2432.66
2026-01-06,C001,C001_AG2,1842,107,5,2026.18
2026-01-07,C001,C001_AG2,1598,49,9,472.1
2026-01-08,C001,C001_AG2,1413,102,16,1123.2
2026-01-09,C001,C001_AG2,1855,40,7,329.08
2026-01-10,C001,C001_AG2,1649,69,13,1149.02
2026-01-11,C001,C001_AG2,1469,34,2,485.1
2026-01-12,C001,C001_AG2,1601,95,13,1104.91
2026-01-13,C001,C001_AG2,1941,52,7,480.93
2026-01-14,C001,C001_AG2,1752,105,6,1147.54
2026-01-15,C001,C001_AG2,1415,53,4,374.1
2026-01-16,C001,C001_AG2,1640,33,6,251.97
2026-01-17,C001,C001_AG2,1905,95,20,1623.84
2026-01-18,C001,C001_AG2,2016,45,2,846.78
2026-01-19,C001,C001_AG2,1815,98,18,1104.01
2026-01-20,C001,C001_AG2,1424,56,11,799.23
2026-01-21,C001,C001_AG2,2057,52,11,449.79
2026-01-22,C001,C001_AG2,1778,77,8,777.14
2026-01-23,C001,C001_AG2,1528,77,5,973.99
2026-01-24,C001,C001_AG2,1655,105,22,1808.68
2026-01-25,C001,C001_AG2,1512,48,8,787.36
2026-01-26,C001,C001_AG2,1534,101,15,1647.99
2026-01-27,C001,C001_AG2,1725,130,21,1888.83
2026-01-28,C001,C001_AG2,2018,116,9,698.82
2026-01-29,C001,C001_AG2,1623,59,3,743.99
2026-01-30,C001,C001_AG2,1728,40,8,246.04
2026-01-31,C001,C001_AG2,2012,114,17,1361.24
2026-02-01,C001,C001_AG2,1967,145,20,2486.35
2026-02-02,C001,C001_AG2,1636,79,6,468.32
2026-02-03,C001,C001_AG2,2043,82,15,1030.6
2026-02-04,C001,C001_AG2,1584,73,10,937.41
2026-02-05,C001,C001_AG2,1672,61,8,614.61
2026-02-06,C001,C001_AG2,1965,115,7,738.02
2026-02-07,C001,C001_AG2,1609,102,18,1896.7
2025-10-11,C001,C001_AG3,1143,32,3,624.49
2025-10-12,C001,C001_AG3,1059,58,13,559.34
2025-10-13,C001,C001_AG3,1236,85,15,1481.92
2025-10-14,C001,C001_AG3,1189,61,10,692.42
2025-10-15,C001,C001_AG3,1046,32,2,614.88
2025-10-16,C001,C001_AG3,985,27,1,476.99
2025-10-17,C001,C001_AG3,1226,85,19,473.13
2025-10-18,C001,C001_AG3,1224,34,4,252.75
2025-10-19,C001,C001_AG3,1227,84,6,971.47
2025-10-20,C001,C001_AG3,1185,40,5,370.96
2025-10-21,C001,C001_AG3,1084,56,6,959.24
2025-10-22,C001,C001_AG3,1255,52,12,1027.86
2025-10-23,C001,C001_AG3,1010,43,6,838.24
2025-10-24,C001,C001_AG3,1240,35,3,511.62
2025-10-25,C001,C001_AG3,1131,29,6,515.26
2025-10-26,C001,C001_AG3,1223,44,10,317.25
2025-10-27,C001,C001_AG3,1304,43,6,440.48
2025-10-28,C001,C001_AG3,272,13,1,258.93
2025-10-29,C001,C001_AG3,898,68,14,1002.96
2025-10-30,C001,C001_AG3,946,35,7,540.44
2025-10-31,C001,C001_AG3,1198,56,2,346.55
2025-11-01,C001,C001_AG3,1255,66,12,852.49
2025-11-02,C001,C001_AG3,1013,38,2,429.3
2025-11-03,C001,C001_AG3,1088,28,6,390.63
2025-11-04,C001,C001_AG3,334,11,0,125.82
2025-11-05,C001,C001_AG3,992,44,8,276.51
2025-11-06,C001,C001_AG3,915,47,7,931.77
2025-11-07,C001,C001_AG3,1058,51,9,1005.5
2025-11-08,C001,C001_AG3,892,60,7,959.65
2025-11-09,C001,C001_AG3,1227,78,9,441.87
2025-11-10,C001,C001_AG3,1245,37,7,442.87
2025-11-11,C001,C001_AG3,1165,80,5,1331.43
2025-11-12,C001,C001_AG3,1015,22,1,123.83
2025-11-13,C001,C001_AG3,1113,88,13,774.37
2025-11-14,C001,C001_AG3,970,40,8,719.48
2025-11-15,C001,C001_AG3,940,39,8,629.84
2025-11-16,C001,C001_AG3,1056,82,12,1021.95
2025-11-17,C001,C001_AG3,1115,75,14,463.79
2025-11-18,C001,C001_AG3,1249,65,7,403.07
2025-11-19,C001,C001_AG3,1021,57,7,874.75
2025-11-20,C001,C001_AG3,904,65,7,1298.2
2025-11-21,C001,C001_AG3,1319,101,6,1470.83
2025-11-22,C001,C001_AG3,1240,75,18,535.63
2025-11-23,C001,C001_AG3,1231,27,1,450.3
2025-11-24,C001,C001_AG3,1055,57,9,865.6
2025-11-25,C001,C001_AG3,1050,69,11,892.99
2025-11-26,C001,C001_AG3,1173,41,2,657.44
2025-11-27,C001,C001_AG3,1056,56,5,498.64
2025-11-28,C001,C001_AG3,1326,49,11,606.03
2025-11-29,C001,C001_AG3,1263,59,13,688.92
2025-11-30,C001,C001_AG3,1187,83,9,847.54
2025-12-01,C001,C001_AG3,1125,82,18,1285.53
2025-12-02,C001,C001_AG3,1167,78,11,531.99
2025-12-03,C001,C001_AG3,947,63,3,838.55
2025-12-04,C001,C001_AG3,1241,65,11,409.06
2025-12-05,C001,C001_AG3,1328,83,12,1372.61
2025-12-06,C001,C001_AG3,918,71,12,834.22
2025-12-07,C001,C001_AG3,1038,75,15,1094.77
2025-12-08,C001,C001_AG3,1313,60,13,349.87
2025-12-09,C001,C001_AG3,953,28,3,437.92
2025-12-10,C001,C001_AG3,1302,95,20,832.11
2025-12-11,C001,C001_AG3,1129,31,3,403.07
2025-12-12,C001,C001_AG3,960,73,5,1086.31
2025-12-13,C001,C001_AG3,1153,81,13,1407.66
2025-12-14,C001,C001_AG3,271,15,2,221.5
2025-12-15,C001,C001_AG3,1070,62,9,893.26
2025-12-16,C001,C001_AG3,1309,64,13,977.59
2025-12-17,C001,C001_AG3,917,21,2,257.54
2025-12-18,C001,C001_AG3,1154,44,8,704.57
2025-12-19,C001,C001_AG3,1317,36,4,483.29
2025-12-20,C001,C001_AG3,1092,39,3,251.63
2025-12-21,C001,C001_AG3,1055,60,5,1078.78
2025-12-22,C001,C001_AG3,1030,56,6,921.02
2025-12-23,C001,C001_AG3,1113,55,6,294.12
2025-12-24,C001,C001_AG3,1109,86,8,885.23
2025-12-25,C001,C001_AG3,1104,80,14,964.7
2025-12-26,C001,C001_AG3,1260,57,12,907.02
2025-12-27,C001,C001_AG3,1047,46,7,364.31
2025-12-28,C001,C001_AG3,918,46,9,423.01
2025-12-29,C001,C001_AG3,1186,32,7,349.07
2025-12-30,C001,C001_AG3,1035,79,15,630.88
2025-12-31,C001,C001_AG3,1107,25,1,249.89
2026-01-01,C001,C001_AG3,1087,61,9,605.09
2026-01-02,C001,C001_AG3,957,76,15,721.13
2026-01-03,C001,C001_AG3,1252,65,12,617.3
2026-01-04,C001,C001_AG3,1048,63,15,866.6
2026-01-05,C001,C001_AG3,1206,73,4,884.68
2026-01-06,C001,C001_AG3,1232,82,13,1297.32
2026-01-07,C001,C001_AG3,961,55,9,968.96
2026-01-08,C001,C001_AG3,1187,25,5,166.21
2026-01-09,C001,C001_AG3,307,8,1,89.25
2026-01-10,C001,C001_AG3,1293,93,18,551.88
2026-01-11,C001,C001_AG3,977,38,6,489.52
2026-01-12,C001,C001_AG3,962,71,8,732.32
2026-01-13,C001,C001_AG3,1204,70,13,990.58
2026-01-14,C001,C001_AG3,994,53,5,1038.46
2026-01-15,C001,C001_AG3,1013,32,6,312.18
2026-01-16,C001,C001_AG3,1299,87,9,594.05
2026-01-17,C001,C001_AG3,1053,82,17,1584.17
2026-01-18,C001,C001_AG3,1014,37,7,377.23
2026-01-19,C001,C001_AG3,999,48,4,627.78
2026-01-20,C001,C001_AG3,1193,33,5,455.48
2026-01-21,C001,C001_AG3,1182,61,10,353.03
2026-01-22,C001,C001_AG3,1203,31,6,157.41
2026-01-23,C001,C001_AG3,1297,57,13,1036.03
2026-01-24,C001,C001_AG3,973,75,8,1101.64
2026-01-25,C001,C001_AG3,925,50,7,792.34
2026-01-26,C001,C001_AG3,1289,39,8,297.84
2026-01-27,C001,C001_AG3,1327,58,8,1104.85
2026-01-28,C001,C001_AG3,1295,94,4,1270.83
2026-01-29,C001,C001_AG3,1320,48,11,631.18
2026-01-30,C001,C001_AG3,1301,92,13,726.08
2026-01-31,C001,C001_AG3,957,45,4,350.68
2026-02-01,C001,C001_AG3,1235,66,13,503.74
2026-02-02,C001,C001_AG3,1282,89,13,560.79
2026-02-03,C001,C001_AG3,967,27,3,235.46
2026-02-04,C001,C001_AG3,989,64,15,609.87
2026-02-05,C001,C001_AG3,890,52,9,308.46
2026-02-06,C001,C001_AG3,1021,45,6,829.2
2026-02-07,C001,C001_AG3,1023,27,6,254.49
2025-10-11,C001,C001_AG4,1068,31,6,436.67
2025-10-12,C001,C001_AG4,1276,61,9,912.65
2025-10-13,C001,C001_AG4,1125,73,16,454.65
2025-10-14,C001,C001_AG4,1354,33,5,195.57
2025-10-15,C001,C001_AG4,1254,68,5,674.68
2025-10-16,C001,C001_AG4,1059,34,5,216.38
2025-10-17,C001,C001_AG4,1406,66,10,782.23
2025-10-18,C001,C001_AG4,1233,84,16,918.9
2025-10-19,C001,C001_AG4,1375,75,4,762.59
2025-10-20,C001,C001_AG4,1499,114,7,2166.76
2025-10-21,C001,C001_AG4,361,23,4,452.52
2025-10-22,C001,C001_AG4,1212,96,12,1732.25
2025-10-23,C001,C001_AG4,1189,72,13,942.44
2025-10-24,C001,C001_AG4,1175,36,5,465.57
2025-10-25,C001,C001_AG4,1113,22,1,208.46
2025-10-26,C001,C001_AG4,1274,66,14,575.04
2025-10-27,C001,C001_AG4,1139,86,16,575.57
2025-10-28,C001,C001_AG4,1211,79,17,413.54
2025-10-29,C001,C001_AG4,1052,23,3,357.63
2025-10-30,C001,C001_AG4,411,18,1,148.66
2025-10-31,C001,C001_AG4,1029,51,5,879.08
2025-11-01,C001,C001_AG4,1161,64,11,627.84
2025-11-02,C001,C001_AG4,1073,63,5,598.97
2025-11-03,C001,C001_AG4,1476,107,24,1539.72
2025-11-04,C001,C001_AG4,1249,97,23,1461.8
2025-11-05,C001,C001_AG4,1161,52,4,553.64
2025-11-06,C001,C001_AG4,1238,87,9,1358.39
2025-11-07,C001,C001_AG4,1459,78,18,1042.03
2025-11-08,C001,C001_AG4,1123,36,6,678.0
2025-11-09,C001,C001_AG4,1047,66,5,595.78
2025-11-10,C001,C001_AG4,1303,94,8,1543.99
2025-11-11,C001,C001_AG4,1281,62,13,619.66
2025-11-12,C001,C001_AG4,1009,76,18,513.74
2025-11-13,C001,C001_AG4,1241,42,7,338.84
2025-11-14,C001,C001_AG4,1278,85,10,1105.4
2025-11-15,C001,C001_AG4,1132,57,8,369.31
2025-11-16,C001,C001_AG4,1236,86,20,908.21
2025-11-17,C001,C001_AG4,1283,42,3,374.29
2025-11-18,C001,C001_AG4,1291,58,4,576.98
2025-11-19,C001,C001_AG4,1418,70,12,1069.09
2025-11-20,C001,C001_AG4,1413,110,19,1359.48
2025-11-21,C001,C001_AG4,1399,42,8,517.64
2025-11-22,C001,C001_AG4,1273,74,4,407.54
2025-11-23,C001,C001_AG4,1474,88,17,984.36
2025-11-24,C001,C001_AG4,1117,69,3,868.43
2025-11-25,C001,C001_AG4,1311,78,13,955.35
2025-11-26,C001,C001_AG4,1004,53,2,685.89
2025-11-27,C001,C001_AG4,1491,31,6,468.43
2025-11-28,C001,C001_AG4,1457,38,2,274.87
2025-11-29,C001,C001_AG4,1265,87,9,952.95
2025-11-30,C001,C001_AG4,1204,64,15,536.82
2025-12-01,C001,C001_AG4,1426,84,18,1377.08
2025-12-02,C001,C001_AG4,1191,63,3,323.93
2025-12-03,C001,C001_AG4,1251,57,11,768.81
2025-12-04,C001,C001_AG4,1049,54,3,441.25
2025-12-05,C001,C001_AG4,1446,70,4,428.07
2025-12-06,C001,C001_AG4,1451,78,4,1476.66
2025-12-07,C001,C001_AG4,1483,81,16,1270.94
2025-12-08,C001,C001_AG4,1040,30,2,525.59
2025-12-09,C001,C001_AG4,1450,57,11,404.66
2025-12-10,C001,C001_AG4,1364,68,16,394.77
2025-12-11,C001,C001_AG4,1421,57,11,1101.4
2025-12-12,C001,C001_AG4,1388,30,3,596.66
2025-12-13,C001,C001_AG4,1179,90,12,1367.59
2025-12-14,C001,C001_AG4,1044,59,12,926.1
2025-12-15,C001,C001_AG4,1078,67,11,1078.35
2025-12-16,C001,C001_AG4,1054,21,2,218.37
2025-12-17,C001,C001_AG4,1067,33,4,439.6
2025-12-18,C001,C001_AG4,1014,41,2,572.8
2025-12-19,C001,C001_AG4,1194,44,5,275.9
2025-12-20,C001,C001_AG4,1454,114,18,859.99
2025-12-21,C001,C001_AG4,1071,40,5,237.96
2025-12-22,C001,C001_AG4,1212,59,3,517.75
2025-12-23,C001,C001_AG4,1314,73,6,482.13
2025-12-24,C001,C001_AG4,1476,58,10,989.55
2025-12-25,C001,C001_AG4,1169,80,17,1569.07
2025-12-26,C001,C001_AG4,1162,89,8,864.43
2025-12-27,C001,C001_AG4,1486,55,10,680.08
2025-12-28,C001,C001_AG4,1123,47,10,512.02
2025-12-29,C001,C001_AG4,1283,71,11,1081.02
2025-12-30,C001,C001_AG4,1478,70,13,810.38
2025-12-31,C001,C001_AG4,1348,93,19,1035.75
2026-01-01,C001,C001_AG4,1318,45,8,707.78
2026-01-02,C001,C001_AG4,1038,82,11,902.99
2026-01-03,C001,C001_AG4,1462,89,14,1500.61
2026-01-04,C001,C001_AG4,1450,75,13,470.6
2026-01-05,C001,C001_AG4,1330,54,9,305.88
2026-01-06,C001,C001_AG4,1340,58,11,1130.17
2026-01-07,C001,C001_AG4,1006,35,5,447.37
2026-01-08,C001,C001_AG4,1289,60,7,995.11
2026-01-09,C001,C001_AG4,1252,50,2,328.41
2026-01-10,C001,C001_AG4,1483,39,9,277.88
2026-01-11,C001,C001_AG4,1229,39,5,473.56
2026-01-12,C001,C001_AG4,1350,52,5,891.95
2026-01-13,C001,C001_AG4,1426,83,15,619.62
2026-01-14,C001,C001_AG4,1123,34,2,455.52
2026-01-15,C001,C001_AG4,1117,49,4,715.75
2026-01-16,C001,C001_AG4,1016,57,5,791.33
2026-01-17,C001,C001_AG4,1354,43,8,736.63
2026-01-18,C001,C001_AG4,1052,76,6,751.62
2026-01-19,C001,C001_AG4,1132,81,12,1181.52
2026-01-20,C001,C001_AG4,1307,72,8,1273.16
2026-01-21,C001,C001_AG4,1409,87,9,1236.9
2026-01-22,C001,C001_AG4,1068,28,3,216.88
2026-01-23,C001,C001_AG4,1257,56,4,602.32
2026-01-24,C001,C001_AG4,1319,81,14,1619.88
2026-01-25,C001,C001_AG4,1246,35,3,411.78
2026-01-26,C001,C001_AG4,1181,24,1,413.48
2026-01-27,C001,C001_AG4,1254,62,11,696.54
2026-01-28,C001,C001_AG4,1246,31,1,508.89
2026-01-29,C001,C001_AG4,1139,59,4,699.73
2026-01-30,C001,C001_AG4,1385,73,5,490.06
2026-01-31,C001,C001_AG4,1413,59,12,331.83
2026-02-01,C001,C001_AG4,1275,101,7,1762.56
2026-02-02,C001,C001_AG4,1150,91,12,930.81
2026-02-03,C001,C001_AG4,1221,97,19,829.76
2026-02-04,C001,C001_AG4,1296,53,10,768.05
2026-02-05,C001,C001_AG4,1071,34,3,200.27
2026-02-06,C001,C001_AG4,1142,59,6,918.09
2026-02-07,C001,C001_AG4,1135,81,20,1230.35
2025-10-11,C001,C001_AG5,1094,48,2,439.67
2025-10-12,C001,C001_AG5,1075,30,2,294.94
2025-10-13,C001,C001_AG5,1131,49,3,709.82
2025-10-14,C001,C001_AG5,945,23,4,380.27
2025-10-15,C001,C001_AG5,1094,67,15,791.97
2025-10-16,C001,C001_AG5,1027,74,16,473.39
2025-10-17,C001,C001_AG5,1048,64,14,1083.85
2025-10-18,C001,C001_AG5,1181,82,12,807.12
2025-10-19,C001,C001_AG5,1013,28,6,471.09
2025-10-20,C001,C001_AG5,1099,25,4,438.76
2025-10-21,C001,C001_AG5,349,10,1,198.78
2025-10-22,C001,C001_AG5,1192,88,19,838.46
2025-10-23,C001,C001_AG5,1144,29,3,180.85
2025-10-24,C001,C001_AG5,1054,24,4,381.36
